ASV_ID,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source,,,,,,,,,,,
ASV_11727,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinopsis;lagopus,Psathyrellaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph-Wood Saprotroph,Agaricoid,NULL,Probable,Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,
ASV_1173,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Trichomerium;NA,Trichomerium,13,Symbiotroph,Endophyte,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11731,Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_ord_Incertae_sedis;Agaricomycetes_fam_Incertae_sedis;Xenasmatella;NA,Xenasmatella,13,Saprotroph,Undefined Saprotroph,NULL,White Rot,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11732,Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_ord_Incertae_sedis;Dothideomycetes_fam_Incertae_sedis;Septonema;NA,Septonema,13,Saprotroph,Wood Saprotroph,NULL,Soft Rot,Highly Probable,NULL,Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany,,,,,,,
ASV_11736,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;NA,Cladophialophora,13,Saprotroph,Undefined Saprotroph,Microfungus,NULL,Probable,NULL,James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110)),,,,,,,,,,
ASV_1174,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;NA,Beauveria,13,Pathotroph,Animal Pathogen,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11743,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;posterula,Inocybe,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,Sensu stricto (Matheny 2009).,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_1175,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hymenogastraceae;Hymenogaster;griseus,Hymenogaster,13,Symbiotroph,Ectomycorrhizal,Gasteroid,Hypogeous,Possible,Common name - false truffle,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM/not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x; sensu stricto)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)) ((as ECM/not ECM)),,,,,,,,,
ASV_11756,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Dictyosporiaceae;NA;NA,Dictyosporiaceae,9,Saprotroph,Undefined Saprotroph,Microfungus,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_1176,Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;NA;NA,Pezizaceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Pezizoid,NULL,Possible,Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,
ASV_11779,Fungi;Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Graphis;scripta,Graphis,13,Symbiotroph,Lichenized,Thallus,NULL,Highly Probable,NULL,Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)),,,,,,,,,,,
ASV_1178,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Paraleptosphaeria;NA,Leptosphaeriaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Microfungus,NULL,Probable,Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,,,,
ASV_11784,Fungi;Kickxellomycota;Ramicandelaberomycetes;Ramicandelaberales;Ramicandelaberaceae;Ramicandelaber;NA,Ramicandelaber,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_118,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hydnangiaceae;Laccaria;NA,Laccaria,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_1180,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;strictipile,Trichoderma,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Soft Rot,Probable,Cause of soft-rot (Seehann et al. 1975); Likely opportunistic human pathogen (Irinyi et al. 2015); Endophyte detection method-culture (Busby et al. 2016),Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)),
ASV_11801,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;cincinnata,Inocybe,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,Sensu stricto (Matheny 2009).,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_11802,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrocybe;conica,Hygrocybe,13,Saprotroph-Symbiotroph,Undefined Saprotroph-Undefined Symbiotroph,Agaricoid,NULL,Probable,Previously classified as Hygrophorus; Carbon signature suggests biotrophy with bryophytes, grasses, or understory plants (Seitzman et al. 2011),Seitzman BH, et al. 2011. Mycologia 103:280-290 ((https://doi.org/10.3852/10-195)); Lodge J., et al. 2014. Fungal Diversity 64:1-99 ((https://doi.org/10.1007/s13225-013-0259-0)); Lodge J. 2014. Omphalina 5:2-6 ((https://www.fs.fed.us/nrs/pubs/jrnl/2014/nrs_2014_lodge_001.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,
ASV_11803,Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;brevipes,Russula,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_11808,Fungi;Glomeromycota;Glomeromycetes;Glomerales;Claroideoglomeraceae;Claroideoglomus;NA,Claroideoglomus,13,Symbiotroph,Arbuscular Mycorrhizal,NULL,NULL,Highly Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11811,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Arthopyreniaceae;Arthopyrenia;cinereopruinosa,Arthopyrenia,13,Symbiotroph,Lichenized,Thallus,NULL,Highly Probable,NULL,Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)),,,,,,,,,,,
ASV_11812,Fungi;Ascomycota;Dothideomycetes;Minutisphaerales;Minutisphaeraceae;Minutisphaera;aspera,Minutisphaera,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11816,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,NULL,Probable,Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,,
ASV_1182,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Nigrogranaceae;Nigrograna;NA,Nigrograna,13,Pathotroph,Animal Pathogen,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11822,Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Wilcoxina;mikolae,Wilcoxina,13,Symbiotroph,Ectomycorrhizal,Pezizoid,NULL,Highly Probable,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_11827,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;lampropus,Entoloma,13,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph,Agaricoid,NULL,Possible,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM/not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x; sensu stricto)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)) ((as ECM/not ECM)),,,,,,,,,
ASV_11828,Fungi;Ascomycota;Dothideomycetes;Tubeufiales;Tubeufiaceae;Uredinophila;NA,Uredinophila,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11829,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cyphellaceae;Henningsomyces;NA,Cyphellaceae,9,Saprotroph,Undefined Saprotroph,Microfungus,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11830,Fungi;Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;NA;NA,Elsinoaceae,9,Pathotroph,Plant Pathogen,Microfungus,NULL,Probable,Biotrophic or necrotrophic on leaves, stems and fruits of a wide range of plants (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,,,
ASV_11831,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;glauca,Absidia,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11835,Fungi;Basidiobolomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus;magnus,Basidiobolus,13,Pathotroph-Saprotroph-Symbiotroph,Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph,Microfungus,NULL,Probable,Basidiobolus ranarum is commonly present in decaying fruit and vegetable matter, and as a commensal in the intestinal tract of frogs, toads, and lizards - Cause of subcutaneous zygomycosis in humans (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,
ASV_1184,Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta;verticillata,Coniochaeta,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Microfungus,NULL,Possible,NULL,Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Damm U, et al. 2010. Persoonia 24:60-80 ((http://doi.org/10.3767/003158510X500705)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/:10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)),,,,,
ASV_11843,Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodosporidiobolus;colostri,Sporidiobolaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Microfungus,NULL,Probable,Saprobic, found in a wide range of habitats and especially in aquatic systems. Some of the red yeasts in this family are widely encountered spoilage organisms and opportunistic human pathogens (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,,,
ASV_11846,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Amauroascus;aureus,Amauroascus,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11847,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Tulasnellaceae;Tulasnella;NA,Tulasnella,13,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Corticioid,NULL,Possible,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte),,,,,,,,,
ASV_1185,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;perchtana,Inocybe,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,Sensu stricto (Matheny 2009).,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_11854,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinopsis;alnivora,Psathyrellaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph-Wood Saprotroph,Agaricoid,NULL,Probable,Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,
ASV_11858,Fungi;Ascomycota;Sordariomycetes;Microascales;Microascaceae;Enterocarpus;grenotii,Enterocarpus,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_1186,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;posterula,Inocybe,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,Sensu stricto (Matheny 2009).,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_11861,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Sistotrema;eximum,Sistotrema,13,Saprotroph-Symbiotroph,Ectomycorrhizal-Wood Saprotroph,Corticioid,White Rot,Possible,NULL,Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM/not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)) (as ECM/not ECM).,,,,,,,
ASV_11862,Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Peziza;arvernensis,Peziza,13,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Pezizoid,NULL,Possible,Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte),,,,
ASV_11868,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Petrakia;NA,Melanommataceae,9,Saprotroph,Wood Saprotroph,Microfungus,NULL,Probable,Saprobic on wood and bark (Cannon & Kirk 2007),Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275),,,,,,,,,
ASV_11875,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia;neobrittanica,Periconia,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Microfungus,Soft Rot,Possible,Dark Septate Endophyte, known from plant roots (Mandyam et al. 2010); Endophyte Host - Asteraceae, Musaceae (Costa et al. 2012),Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Mandyam K, et al. 2012. Mycorrhiza 22:109-119 ((https://doi.org/10.1007/s00572-011-0386-y)); Knapp DG, et al. 2012. PLOS ONE 7:e32570 (( https://doi.org/10.1371/journal.pone.0032570)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)),,,,,
ASV_11879,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Acremonium;cavaraeanum,Acremonium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Soft Rot,Possible,Endophyte detection method-culture (Hanada et al. 2010, Del Olmo-Ruiz & Arnold 2014); Likely opportunistic human pathogen (Irinyi et al. 2015),Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Worrall JJ, et al. 1997. Mycologia 89:199-219 ((https://doi.org/10.2307/3761073)); Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008)),,,,
ASV_1188,Fungi;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Geomyces;auratus,Geomyces,13,Saprotroph,Soil Saprotroph,Microfungus,NULL,Probable,This genus is now restricted to one species Geomyces auratus; however, it is important to note that the majority of species that once comprised this genus, including the White-Nose Bat Syndrome causing Geomyces destructans, are now placed in the genus Pseudogymnoascus (see Minnis & Lindner 2013),Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649 ((https://doi.org/10.1016/j.funbio.2013.07.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,
ASV_11880,Fungi;Basidiomycota;Agaricomycetes;Boletales;Melanogastraceae;Melanogaster;ambiguus,Melanogaster,13,Symbiotroph,Ectomycorrhizal,Gasteroid,Hypogeous,Highly Probable,Common name - false truffle,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_1189,Fungi;Ascomycota;Dothideomycetes;Venturiales;Venturiaceae;Sympodiella;quercina,Sympodiella,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
ASV_11891,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;groenlandica,Amanita,13,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Agaricoid,NULL,Probable,Some members of the genus are deadly poisonous,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Wolfe BE, et al. 2012. PLoS ONE 7:e39597 ((https://doi.org/10.1371/journal.pone.0039597)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); http://en.wikipedia.org/wiki/List_of_deadly_fungi ((http://en.wikipedia.org/wiki/List_of_deadly_fungi)),,,,,,,,
ASV_11899,Fungi;Basidiomycota;Agaricomycetes;Boletales;Paxillaceae;Paxillus;involutus,Paxillus,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_119,Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;olivacea,Russula,13,Symbiotroph,Ectomycorrhizal,Agaricoid,NULL,Highly Probable,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)),,,,,,,,,
ASV_11904,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Capronia;pilosella,Capronia,13,Symbiotroph,Endophyte,Facultative Yeast,NULL,Highly Probable,Dark Septate Endophyte, known from plant roots.,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,
ASV_1191,Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina;NA,Sebacina,13,Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph,NULL,NULL,Possible,NULL,Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); Weiß, et al. 2016. New Phytologist 211;20-40 ((https://doi.org/10.1111/nph.13977)) (various guilds),,,,,,,,
ASV_11912,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Pholiota;adiposa,Pholiota,13,Saprotroph,Undefined Saprotroph,Agaricoid,White Rot,Probable,NULL,Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)),,,,,,,,,,
